species,year,BO21_tempmax_bdmin_mean,central_depth
Ectopleura spp.,2008,18.9097932073017,10.636869094565483
Ectopleura spp.,2009,18.9097932073017,9.54700613403985
Ectopleura spp.,2010,18.9097932073017,NA
Ectopleura spp.,2012,18.9097932073017,NA
Ectopleura spp.,2013,18.9097932073017,NA
Ectopleura spp.,2014,18.9097932073017,8.05111493571224
Ectopleura spp.,2015,18.9097932073017,20.64006273612689
Ectopleura spp.,2017,18.9097932073017,25.9
Ectopleura spp.,2018,18.9097932073017,NA
Ectopleura spp.,2020,18.9097932073017,NA
Ectopleura spp.,2022,18.9097932073017,20.5
Ectopleura spp.,2023,18.9097932073017,NA
Gersemia rubiformis,1991,8.55259609306272,22.94010601262707
Gersemia rubiformis,1995,8.55259609306272,23.5387344012
Gersemia rubiformis,2001,8.55259609306272,23.236114302240175
Gersemia rubiformis,2002,8.55259609306272,24.64758229223984
Gersemia rubiformis,2004,8.55259609306272,22.597496104863453
Gersemia rubiformis,2006,8.55259609306272,22.910452405382113
Gersemia rubiformis,2008,8.55259609306272,22.95885044851865
Gersemia rubiformis,2009,8.55259609306272,22.975918817614726
Gersemia rubiformis,2010,8.55259609306272,22.557243684271256
Gersemia rubiformis,2012,8.55259609306272,21.48278221574833
Gersemia rubiformis,2013,8.55259609306272,23.39553750500964
Gersemia rubiformis,2014,8.55259609306272,22.35536707530376
Gersemia rubiformis,2015,8.55259609306272,24.745848717317713
Gersemia rubiformis,2017,8.55259609306272,25.9
Gersemia rubiformis,2018,8.55259609306272,24.748358179476178
Gersemia rubiformis,2020,8.55259609306272,20.50788868016386
Gersemia rubiformis,2022,8.55259609306272,25.630798967173547
Gersemia rubiformis,2023,8.55259609306272,25.29293069872029
Halichondria panicea,1991,16.4127689250527,11.445793614171526
Halichondria panicea,1995,16.4127689250527,8.88427809238101
Halichondria panicea,2001,16.4127689250527,19.881216595377065
Halichondria panicea,2002,16.4127689250527,17.540970707760252
Halichondria panicea,2004,16.4127689250527,18.025938848279665
Halichondria panicea,2006,16.4127689250527,22.713307630635217
Halichondria panicea,2008,16.4127689250527,25.899999999999995
Halichondria panicea,2009,16.4127689250527,7.304106337449551
Halichondria panicea,2010,16.4127689250527,16.681735719171467
Halichondria panicea,2012,16.4127689250527,25.9
Halichondria panicea,2013,16.4127689250527,22.87
Halichondria panicea,2014,16.4127689250527,25.900000000000002
Halichondria panicea,2015,16.4127689250527,25.9
Halichondria panicea,2017,16.4127689250527,NA
Halichondria panicea,2018,16.4127689250527,NA
Halichondria panicea,2020,16.4127689250527,NA
Halichondria panicea,2022,16.4127689250527,25.9
Halichondria panicea,2023,16.4127689250527,NA
Hydrozoa-Bryozoa complex,1991,NA,17.585479769659095
Hydrozoa-Bryozoa complex,1995,NA,15.278596985313651
Hydrozoa-Bryozoa complex,2001,NA,17.065296980794393
Hydrozoa-Bryozoa complex,2002,NA,15.910150035405138
Hydrozoa-Bryozoa complex,2004,NA,15.858256243280202
Hydrozoa-Bryozoa complex,2006,NA,16.45793023923295
Hydrozoa-Bryozoa complex,2008,NA,14.471888225129591
Hydrozoa-Bryozoa complex,2009,NA,18.345816977122965
Hydrozoa-Bryozoa complex,2010,NA,17.094624277409512
Hydrozoa-Bryozoa complex,2012,NA,18.65326233767505
Hydrozoa-Bryozoa complex,2013,NA,16.304726821423202
Hydrozoa-Bryozoa complex,2014,NA,15.71229255785659
Hydrozoa-Bryozoa complex,2015,NA,18.38264822246856
Hydrozoa-Bryozoa complex,2017,NA,18.83394565759
Hydrozoa-Bryozoa complex,2018,NA,19.43034104111189
Hydrozoa-Bryozoa complex,2020,NA,17.943788391263134
Hydrozoa-Bryozoa complex,2022,NA,20.382571617162423
Hydrozoa-Bryozoa complex,2023,NA,20.47806984857586
Isodictya spp.,1991,19.603864133358,17.755521460765667
Isodictya spp.,1995,19.603864133358,11.615022264645788
Isodictya spp.,2001,19.603864133358,17.848832481498306
Isodictya spp.,2002,19.603864133358,19.0877743117998
Isodictya spp.,2004,19.603864133358,20.925752434391477
Isodictya spp.,2006,19.603864133358,17.816749143741337
Isodictya spp.,2008,19.603864133358,19.28788461148759
Isodictya spp.,2009,19.603864133358,16.89000426335924
Isodictya spp.,2010,19.603864133358,11.505062208574735
Isodictya spp.,2012,19.603864133358,17.550870241592172
Isodictya spp.,2013,19.603864133358,16.270627415833953
Isodictya spp.,2014,19.603864133358,19.138523341505906
Isodictya spp.,2015,19.603864133358,18.410050319948233
Isodictya spp.,2017,19.603864133358,25.9
Isodictya spp.,2018,19.603864133358,14.903725005306635
Isodictya spp.,2020,19.603864133358,20.5
Isodictya spp.,2022,19.603864133358,10.66381907389478
Isodictya spp.,2023,19.603864133358,25.9
Metridium senile,1991,16.5757883271677,10.897796474007746
Metridium senile,1995,16.5757883271677,17.118968689372753
Metridium senile,2001,16.5757883271677,10.538737249958597
Metridium senile,2002,16.5757883271677,18.606321076812787
Metridium senile,2004,16.5757883271677,15.26603124680726
Metridium senile,2006,16.5757883271677,8.767792615823769
Metridium senile,2008,16.5757883271677,13.898575672411326
Metridium senile,2009,16.5757883271677,11.281392025879684
Metridium senile,2010,16.5757883271677,9.13893417196005
Metridium senile,2012,16.5757883271677,7.790241628262806
Metridium senile,2013,16.5757883271677,10.20424718368794
Metridium senile,2014,16.5757883271677,9.166454485122346
Metridium senile,2015,16.5757883271677,8.43002725397979
Metridium senile,2017,16.5757883271677,14.696096258778141
Metridium senile,2018,16.5757883271677,7.223678196475762
Metridium senile,2020,16.5757883271677,8.094075329889515
Metridium senile,2022,16.5757883271677,25.9
Metridium senile,2023,16.5757883271677,25.557228684446002
Modiolus modiolus,1991,16.5094526179754,17.18952523217462
Modiolus modiolus,1995,16.5094526179754,22.87
Modiolus modiolus,2001,16.5094526179754,10.048619157144325
Modiolus modiolus,2002,16.5094526179754,20.221805190459758
Modiolus modiolus,2004,16.5094526179754,22.869999999999997
Modiolus modiolus,2006,16.5094526179754,22.87
Modiolus modiolus,2008,16.5094526179754,22.87
Modiolus modiolus,2009,16.5094526179754,22.87
Modiolus modiolus,2010,16.5094526179754,12.402501229971094
Modiolus modiolus,2012,16.5094526179754,22.87
Modiolus modiolus,2013,16.5094526179754,24.652195411988984
Modiolus modiolus,2014,16.5094526179754,22.87
